[2025-05-30 08:52:27,332] 26 root - INFO - Initiating data ingestion
[2025-05-30 08:52:53,649] 66 root - INFO - Performed train test split on the dataframe
[2025-05-30 08:52:53,649] 68 root - INFO - Exicted split_data_as_train_test method of Data_Ingestion class
[2025-05-30 08:52:53,649] 74 root - INFO - Exporting train and test file path
[2025-05-30 08:52:53,844] 83 root - INFO - Exported train and test file path.
[2025-05-30 08:52:53,845] 28 root - INFO - Data ingestion completed
[2025-05-30 08:52:53,850] 34 root - INFO - Initiating data validation
[2025-05-30 08:52:53,901] 31 root - INFO - Required number of columns:2
[2025-05-30 08:52:53,902] 32 root - INFO - Data frame has columns: 50
[2025-05-30 08:52:53,902] 31 root - INFO - Required number of columns:2
[2025-05-30 08:52:53,902] 32 root - INFO - Data frame has columns: 50
[2025-05-30 08:52:54,166] 36 root - INFO - Data validation completed
[2025-05-30 08:52:54,166] 41 root - INFO - Data transformation started
[2025-05-30 08:52:54,166] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-05-30 08:52:54,166] 65 root - INFO - Starting data transformation
[2025-05-30 08:52:54,209] 49 root - INFO - Entered get_data_transformer_object method of Transformation class
[2025-05-30 08:52:54,209] 54 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-05-30 08:52:54,226] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-30 08:52:54,230] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-30 08:52:54,230] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-30 08:52:54,234] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-30 08:52:54,235] 44 root - INFO - Data transformation completed
[2025-05-30 08:52:54,236] 48 root - INFO - Model training started
[2025-05-30 08:57:42,013] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-30 08:57:42,015] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-30 08:57:42,015] 45 root - INFO - Entered the save_object method od MainUtils class
[2025-05-30 08:57:42,018] 49 root - INFO - Excited the save_object method of MainUtils class
[2025-05-30 08:57:42,018] 118 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_30_2025_08_52_20\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0), test_metric_artifact=ClassificationMetricArtifact(f1_score=1.0, precision_score=1.0, recall_score=1.0))
[2025-05-30 08:57:42,018] 55 root - INFO - Model training completed
